user,user_profile,date_review,title,rating,type_visit,num_contributions,review,restaurant,review_cleaned,year,month
Murielle M,379muriellem,2023-04-02,Top,5.0,family,3,"Super lieu, super repas, super rapport qualité/prix
A découvrir absolument ou y retourner résolument 👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻",Le Grand Réfectoire,super lieu super repas super rapport qualitéprix découvrir absolument retourner résolument,2023,4
floxe,floxe,2023-04-01,Bonne table et très beau cadre,4.0,none,130,"Cadre magnifique !
Nous avons bien mangé …seuls bémols :
Nos enfants, qui sont arrivés après nous, ont vu les entrées arriver alors qu’ils n’avaient pas terminé leurs apéritifs ( j’avais bien demandé à ce qu’ils aient le temps avant les entrées ), 
Et le vin nous a été servi alors que nous terminions nos entrées …
Mis a part cela , le personnel est très sympathique et nous avons passé une bonne soirée !",Le Grand Réfectoire,cadre magnifique avon bien mangé seuls bémols enfants arrivés après entrées arriver alors quils navaient terminé leurs apéritifs javais bien demandé quils temp avant entrées vin servi alors terminions entrées part cela personnel très sympathique avon passé bonne soirée,2023,4
Gourmandises69,Gourmandises69,2023-03-30,Super rapport qualité prix!,5.0,none,5,"Ça fait 3 ans que je n’avais pas eu l’occasion de revenir, je suis bluffée! 
Toujours aussi bon dans un cadre magnifique, mais surtout très abordable ! Super rapport qualité prix!",Le Grand Réfectoire,fait navais loccasion revenir bluffée toujours aussi bon cadre magnifique surtout très abordable super rapport qualité prix,2023,3
David G,I7112PHdavidg,2023-03-29,Un incontournable,5.0,friends,4,"Absolument génial !!!! A recommander et à refaire :)
Service de qualité, produits délicieux .. et je ne parle même pas du lieu qui est exceptionnel !",Le Grand Réfectoire,absolument génial recommander refaire service qualité produits délicieux parle lieu exceptionnel,2023,3
Claudy F,claudyf2015,2023-03-26,Allez au Réfectoire,5.0,friends,65,"Personnel efficace, attentif.
Accueil très sympathique. 
Assiette gourmande.
Salle très bien décorée,  avec juste ce qu'il faut d'epuré",Le Grand Réfectoire,personnel efficace attentif accueil très sympathique assiette gourmande salle très bien décorée juste quil faut depuré,2023,3
Virginie M,virginiem866,2023-03-25,Juste parfait,5.0,none,4,"Tout était parfait, l'accueil, le lieu et les plats ! Nous avons passé un excellent moment en famille et mes ados ont été éblouis !",Le Grand Réfectoire,tout parfait laccueil lieu plat avon passé excellent moment famille ado éblouis,2023,3
Loup Gris,DiamentLyon,2023-03-22,Le Grand Réfectoire Retour vers l'avenir !!!,4.0,none,38,"Des mets de qualité dans un cadre historique modernisé.
Un personnel impeccable, de l'accueil au payement en passant par le service de table.
Une ambiance animée, un peu bruyante ce soir là.",Le Grand Réfectoire,mets qualité cadre historique modernisé personnel impeccable laccueil payement passant service table ambiance animée peu bruyante soir,2023,3
Noëlle M,no_llem208,2023-03-22,"Innovation dans le menu, association de senteurs bien choisies. Bel endroit.",4.0,friends,2,"Menu innovant et bon. Cependant, pour la  boisson, j'avais choisi un verre de vin rouge, Un Brouilly précisément, j'aurai apprécié que le serveur apporte la bouteille de Brouilly, me montre l'étiquette avant de me servir. J'estime que le client a le droit de savoir précisément ce qu'il boit. 
Ce mardi, peu de monde, donc pas de nuisance sonore, c'était bien. ",Le Grand Réfectoire,menu innovant bon cependant boisson javais choisi verre vin rouge brouilly précisément jaurai apprécié serveur apporte bouteille brouilly montre létiquette avant servir jestime client droit savoir précisément quil boit mardi peu monde donc nuisance sonore cétait bien,2023,3
florence Lyon,Floflowlyon,2023-03-22,Très bon repas dans un lieu chargé d'histoire.,5.0,friends,26,"Le lieu est très beau, le service  a été au petit soin et discret. Les plats choisis  étaient très bons. Je retournerai avec plaisir dans ce restaurant car comme tous les lyonnais d'origine, l'Hôtel Dieu a marqué notre histoire familiale et nous aimons le faire visiter 
depuis sa superbe réhabilitation. Ainsi lors d'une prochaine visite, j'aurai plaisir
à convier des amis pour un repas au Grand Réfectoire.",Le Grand Réfectoire,lieu très beau service petit soin discret plat choisis très bons retournerai plaisir restaurant car comme tous lyonnais dorigine lhôtel dieu marqué histoire familiale aimons faire visiter depuis superbe réhabilitation ainsi lors dune prochaine visite jaurai plaisir convier amis repas grand réfectoire,2023,3
Olivier V,485olivierv,2023-03-19,Super rapport qualité prix dans un cadre original.,5.0,family,989,"Superbe soirée , menu découverte entrée plat dessert pour 39€ un samedi soir. Le tout arrosé d’un excellent CONDRIEU de chez Montez .❤️ 
Service impeccable et décontracté.",Le Grand Réfectoire,superbe soirée menu découverte entrée plat dessert samedi soir tout arrosé dun excellent condrieu chez montez service impeccable décontracté,2023,3
