,user,user_profile,date_review,title,rating,type_visit,num_contributions,review
49,Gama1801,Gama1801,14 février 2019,Les meilleurs sushis de lyon,5.0,couples,5,"Certe le prix est un peu cher pour des sushis mais ça vaut la qualité, c'est un délice ! 
La décoration est très jolie parfait pour une soirée en amoureux."
50,Tania et Damien t,taniaetdamient,14 février 2019,Excellent!,5.0,couples,55,"Très très bon restaurant, nous avons été ravis! Les morceaux de poisson ultra frais et généreux. Les meilleurs sushis que j'ai jamais mangés! Le service est charmant et discret, les conseils du chef précieux. Je recommande vivement !!!"
51,mass74fr,mass74fr,8 janvier 2019,Bel accueil et jolie lieu,4.0,family,97,"L'accueil était très sympathique, au dessus de nous avions une rivière d'étoiles, magnifique. Le midi c'est menu à 24 euros, trois choix sushi, maki et saumon, thon cuit, avec une salade de saumon très bonne en entrée et du riz et soupe miso pour accompagné le plat principal. 
Très bon, les meilleurs california rolls qu'elle a mangé, pour ma fille. 
Le chef vient vous parler des mets, et comment les manger. 
Maintenant cela reste quand même chère pour la quantité."
52,Jean-Philippe F,jphfejoz,30 novembre 2018,Le must des sushis,5.0,business,42,"Quelle fraîcheur cette salade en entrée, les maki, sushi et autres sont excellents, le meilleur japonais à Lyon. Un vrai restaurant de sushi. "
53,MelleEmma,MelleEmma,29 novembre 2018,WOUA!,5.0,friends,15,"Nous avons très bien mangé, menu pour 2 copieux! Poisson ultra frais, c'est d'ailleurs à cette occasion que j'ai découvert le poulpe, depuis j'adore! Bon accueil, endroit convivial, déco particulière! Prix en conséquence mais repas de qualité. De la concurrence dans le quartier mais jamais égalé! Je recommande (j'ai faim rien que d'y penser!!)"
54,Dom L,821doml,25 novembre 2018,Très bon !,5.0,couples,3,"Très bon et fait maison,
Seul bémol, qui en est la conséquence, c'est que le service est un peu long"
55,mattouille,mattouille,22 novembre 2018,Un délice !,5.0,family,9,"Pour les amateurs de sushis, ce restaurant est la meilleure adresse de Lyon ! 

Nous y sommes allés à 3 reprises et à chaque fois, c était un régal. 

L hôte de ces lieux vous accueil chaleureusement et vous explique comment manger les sushis. Le poissons est frais et les sushis sont excellents. 

Une merveille "
56,julien g,juliengC1399LV,18 novembre 2018,Le restaurant japonais par excellence sur Lyon,5.0,couples,30,"2eme fois 
2eme réussite !
Surpris encore par la fraîcheur, la finesse des sushis ...... Ils fondent littéralement en bouche 
J'ai pourtant l'habitude de manger ""japonais"" mais là c'est vraiment très bon.
Les Menus sont bien expliqués , il y en a pour tous les goûts .
Les desserts sont très bons également .
Nous conseillons d'y aller en soirée , c'est beaucoup plus joli avec les éclairages tamisés et toutes ces petites lumières accrochées à des branches suspendues au plafond .
Nous recommandons."
57,69marco69,69marco69,12 novembre 2018,Raffinement,5.0,couples,212,"Certes ce n'est pas un restaurant japonais pour petits budgets.
Mais vous aurez l'occasion de découvrir des sushis comme nulle part ailleurs à Lyon . Anguille, poulpe, thon aux 2 cuissons, ainsi que tous les autres Sushis et sashimis traditionnels. 
Température excellents de légèreté et en dessert glace au sésame noir.
Le tout accompagné par un excellent saké que vous aurez choisi parmi les 12 ou 15 variétés qui vous sont toutes décrites individuellement.
Conclusion : une adresse inévitable pour les amateurs "
58,Pénélope w,p_n_lopew,23 octobre 2018,Des sushis oui mais de luxe,5.0,friends,56,"En la matière on voit de tout mais ici c’est le chef coréen et son personnel au petit soins qui vous font découvrir le poisson sous toutes ses facettes cru cuit en brochette en sushi en takimune ambiance rétro et un service très attentionné 
On peut s’y rendre en famille aussi"
