,user,user_profile,date_review,title,rating,type_visit,num_contributions,review
143,veroniquep638,veroniquep638,9 octobre 2016,Un court instant au pays du soleil levant,4.0,family,252,"On ne s'attend pas à une telle décoration quand on franchit le seuil. Une fois installé, on part à la découverte de la carte : grands choisir de menus - de bière japonaise et de saké. Nous voilà prêt à déguster, nous sommes guide dans la dégustation par des explications et quel plaisir d'avoir la venue à notre table du chef kim qui nous fait une démonstration précise de comment bien manger à la façon japonaise. Fraîcheur des poissons. Une belle adresse "
144,Daniel T,DanielT7537,5 octobre 2016,Enfin un restaurant japonais ...,4.0,couples,5,"Très belle découverte.

Grand amateur de cuisine japonaise et passant tous les jours devant ce restaurant, j'ai décidé de m'y rendre avec mon épouse.

Le cadre est atypique et très sympa, la carte également avec un menu découverte où on vous apprend à déguster les sushis comme il se doit.

Très belle expérience.

Les prix sont un peu élevés certes, mais il faut savoir se faire plaisir et manger ""vrai"" plutôt que d'accumuler les bouis-bouis pas chers"
145,Patrick C,PatrickC479,29 septembre 2016,Tout simplement très bon,4.0,business,31,"Même si ce n'est pas donné, il clair que la qualité est là et le Sushis... sont excellents. Le chef et le personnel vous conseillent sur la manière de déguster (ordre défini). Un bon moment de découverte. Ouvert le soir et fonctionne avec principe de menu uniquement."
146,Alex,S3826AOmartinp,28 septembre 2016,Partagé,2.0,couples,27,"On m'en a beaucoup parlé en bien, peut être trop...car j'ai été un peu déçu.
Mon amie et moi avons pris un menu à 33€. Le miens composé de brochettes, le siens de sushis.
Salade de saumon en entrée vraiment basique, peu de saumon, quelques feuilles vertes et une vinaigrette. 
Mes brochettes n'avaient rien d'exceptionnel, celles au bœuf limite et il fallait décortiquer les gambas...mais mon amie a adoré les sushis. La soupe miso est basique aussi.

En dessert, un financier au thé vert et une boule de glace au sésame noir. Le dessert était original et bon.

Niveau service et cadre, ce n'est pas grandiose et pas cohérent avec les tarifs (toilettes modeste, le gel mains en plastique et les serviettes de toilettes premier prix...)

Au final bon, mais rien de transcendant surtout pour le prix. Mon amie m'a avoué que la qualité avait baissé depuis 3 ans."
147,Cle,984cl_mentl,25 septembre 2016,Whaou les sushis !!,5.0,family,119,"Je n'avais pas mangé de sushis aussi bons depuis... le Japon!! Vraiment excellents. Ils vous expliquent même le sens de dégustation pour le goût. 
Personnel très agréable. 
Tarifs élevés (comptez 35€ en moyenne par personne) "
148,WilDeLyon,WilDeLyon,15 septembre 2016,Sushis,5.0,couples,1284,"Toujours aussi bon, mais certes cher.
Les sushis sont vraiment excellents, préparés avec rigueur, avec des produits de choix.
La déco est atypique.
L accueil est japonais, le chef pédagogique."
149,Siphie26,Siphie26,31 août 2016,Gastronomique,5.0,couples,59,"Ce restaurant propose un repas gastronomique autour des sushis. 
Le prix est certes onéreux mais justifié par le cadre, la qualité des produits et par les explications données par les serveurs. 
Un très bon moment. "
150,Eugénie,eleeena29,29 août 2016,Quel beau restaurant !,5.0,family,78,"Petit dîner entre frère et soeur passionés du Japon et pas déçus ! Sushis frais, bento bien garni, belle présentation et alors une décoration du restaurant super jolie ! Romantique si vous y allez en amoureux !"
151,Expedition151442,Expedition151442,26 août 2016,Pour une 1ère quelle belle découverte!,5.0,none,8,Parfait du début à la fin. Le poisson est frais et toutes les saveurs sont là. Service très agréable juste un tout petit peu long. Mais on oublie cela très vite quand nos papille se régalent. Restaurant enregistré je reviendrai!
152,zazadebellaigue,zazadebellaigue,18 août 2016,Excellent et cadre agréable,5.0,family,7,"Que du plaisir !
Des mets de qualité cuisinés par un chef cuisinier adorable et passionné qui aime partager les traditions japonaises.
Un cadre original qui reprend toute la symbolique de ce pays."
153,Randazzo G,randazzog,16 août 2016,Au top,5.0,none,6,"Au top ..... Le meilleur des restaurants japonais que je connaisse... Le meilleur tout simplement ... Une
Prestation et une nourriture haut de gamme fait par un chef haut de gamme .."
154,Rouge K,rougek949,31 juillet 2016,Génial,5.0,friends,11,"Cuisine et alcool typique vraiment délicieux. Une référence pour qui aime le poisson bien frais. Décoration intérieure sympathique, pas trop d'attente, personnel aimable. Prix un peu élevé mais c'est à faire. "
155,Samantha,sam_crvh,25 juillet 2016,Un régal,5.0,couples,15,"Ce restaurant figure parmis mes préférés ! Certes les menus tournent principalement autour du poisson cru, mais le chef s'emploie à nous faire de bons sushis avec des sauces étonnantes. Le personnel n'est pas très causant, mais toujours près à répondre à nos questions. Je conseille vivement cette adresse. "
156,PhilF01,PhilF01,12 juillet 2016,A essayer absolument,4.0,couples,64,"La vitrine ne paie pas de mine, mais l'accueil, le service et les plats sont succulents. Reçu en fin de service et partis les derniers, cet établissement est un incontournable Japonais Lyonnais."
157,Junipaja,Junipaja,2 juillet 2016,Le voyage des papilles !,5.0,couples,20,"Le cadre : un restaurant intimiste , déco fleurie et lumière tamisée !
Les boissons : whisky japonais, thé au jasmin ...
Les plats : tout est délicieux et délicat : saumon fondant, poissons sauvages, assaisonnement parfait !
Le petit plus : le Chef vient vous expliquer à table dans quel ordre déguster l'ensemble des réjouissances de votre plateau Bento !"
158,finconnaisseur,finconnaisseur,14 juin 2016,un vrai japonais avec des très bons produits,5.0,family,80,dépaysement total tant par la cuisine que par la décoration ainsi que par le service. Véritables sushis frais et de qualité. La fraîcheur et la propreté sont au rendez-vous. Je recommande fortement.
159,Bladecobra,Bladecobra00,12 juin 2016,Décevant,3.0,family,22,"Nous sommes aller dans ce restaurant pour découvrir une autre dimension de la cuisine japonaise. Un accueil très réserver mais efficace. En ouvrant la carte des menus nous avions été frustré par le peux de choix et le prix des menus qui étais trop excessif. Nous avons pris une soupe miso succulente et des sushis très décevant. En effet nous avons eu des sashimi de saumon de mauvaise qualité (ogm). Le thon étais en fait de la thaunine. Les sushis à la dorade et à la sol n'avait aucun goût pourtant je n'étais pas enrhumé mais toute fois les California Maki étais d'une très bonnes qualité. Le dessert qui étais un financier au the vert n'avais aucun goût. Au final addition très salée, et nous sommes rester sur notre faim. Je ne reviendrais pas."
160,Veronique Z,veroniquez2018,30 mai 2016,Poussez la porte : partez en voyage !,4.0,friends,109,"Laissez vous conduire par le personnel attentif et souriant vers des mets raffinés, des gouts différents venus d'un Japon non standardisé.
La décorations est adorable, les portions sont copieuses, la soirée s'écoule  sereinement. Goutez au The au Yuzu Youjacha pour finir !"
161,Stéphanie B,386st_phanieb,29 mai 2016,excellent !,4.0,friends,1,"nous avons passé une très bonne soirée entre amis. la déco est travaillée et nous avons l'impression d'être sous un ciel étoilé avec toutes les petites lumières au plafond ! les menus sont très copieux et nous nous sommes régalés. La serveuse très souriante a pris le temps de nous expliquer chaque plat, et surtout comment les manger (dans quel ordre). Bref, nous avons voyagé le temps d'une soirée, et reviendrons c'est sur !"
162,Nina,nina19901,7 mai 2016,Un régal,4.0,couples,3,Un régal. Bon accueil. La déco est très bien aussi. Le chef nous explique son plat. En revanche le menu complet et beaucoup trop chère!!!!
163,TT69,tatal69,25 avril 2016,Bon mais...,4.0,family,40,"Trop cher, pas assez de choix, et serveurs prétentieux. Les california maki sont à tomber par terre, mais les sushis sont insipides..."
164,CortoMalteseLyon,CortoMalteseLyon,18 avril 2016,Excellent !!!! A tester de suite et en toute confiance !!!,5.0,couples,118,"Réservation obligatoire même pour un vendredi soir....Atmosphère à la fois cosy, feutrée et originale dans un mélange de déco traditionnelle et moderne/vintage...Acceuil des plus agréables...Attention, c'est vite blindé du fait d'une renommée que ce restaurant est en train de se faire.

C'est un régal.....Tout est fait maison et fond dans la bouche avec du goût....Des sushis, makis et autres curiosités gastronomiques...Tous les produits sont expliqués...Je ne sais pas si il s'agit de spécialités coréennes ou japonaises...Mais un endroit et un moment culinaire top !!!! On nous explique comment manger les produits et dans quel ordre. A tester et à recommander à tous les coups !!!

Très bon rapport qualité prix pour ce type de cuisine aussi raffinée !!!"
165,Jean M,jeanmR153RA,16 avril 2016,Un régal !,5.0,couples,3,"Dans une ambiance japonisante et cosy, nous avons passé un délicieux moment. Les sushis et makis que nous avons goûté était tout simplement excellents, probablement les meilleurs que j'ai mangé. 
Le personnel est discret, très serviable et nous avons eu le droit à une petite explication sur la manière de manger les sushis. 
Petit bémol nous avons attendu un peu longtemps entre chaque plat. "
166,seven7501,seven7501,15 avril 2016,Traditionnel,5.0,none,9,"Presque comme au japon! Ça change des sushis chinois! Accueil excellent. Propriétaire coréen, culture très proche des japonais.
Pas de vente à emporter. À déguster sur place et dans le calme "
167,1jour1kilo,1jour1kilo,10 avril 2016,Ceux qui me connaissent bien...,4.0,solo,147,"...savent que ça va m'arracher la gueule de dire ça, mais je viens pour la première fois de tomber sur un BON sushi-bar.
Tout est parfait.
L'ambiance, la présentation, les saveurs, les proportions.
C'est le chef lui-même (un vrai japonais) qui sert le plat principal, explique chaque produit, dans quel ordre et comment les manger.
Une expérience mémorable.
Avis aux Lyonnais, à tester à tous prix."
168,Steph B,boustefcha,15 mars 2016,Voyage au Japon,5.0,family,80,"Nous sommes allés manger un mardi soir avec nos deux filles de 5 et 7 ans. Amateurs de cuisine japonaise suite à des voyages au Japon, nous avons été accueillis dans la tradition. Les sushis sont succulents le poisson très frais. Le service impeccable n'a pas faillit à la tradition de l enchaînement des plats. Le chef s est adapté au goût de nos filles et leurs a proposé des sushis assaisonnés personnellement qui ont fait leur bonheur. La décoration est également a souligner. Cependant la qualité a un prix mais c est un très bon rapport avec la qualité de la prestation globale."
169,U1014JOmartinb,U1014JOmartinb,14 mars 2016,Une adresse à ne pas manquer,5.0,couples,4,"Un restaurant dans une rue assez discrète, nous nous sommes rendus un midi à ce restaurant après avoir lu les commentaires de Tripadvisor. 
L'accueil est chaleureux, le restaurant est tenu par un couple japonais qui sont très gentils. La nourriture est bonne, les sushis sont frais et succulents. Le chef est venu nous enseigner les règles pour manger des sushis comme au Japon ! 
Le prix des menus est assez cher mais le rapport qualité-prix y est. 
Pour couronner le tout, un très très bon café nous a été servi ! 
À refaire !!! "
170,Fabrice,FBRCN,4 mars 2016,Dîner entre amis,3.0,friends,7,"ça fait des années que je fréquente ce restaurant dont le chef prépare toujours autant de sushis succulents. 

toutefois, je suis peiné de constater la grande inflation sur les tarifs ! c'est devenu bien trop chère pour ce que c'est ! +30% en quelques années, c'est bien dommage...

Il faudrait revoir à la baisse les prix !!!"
171,Marine A,243marinea,25 février 2016,Super restaurant japonais,4.0,couples,37,"Je recommande vivement ce japonais. 
Les prix sont un peu chers mais les menus sont vraiment excellents. Nous nous régalons toujours. 
Petit + : Le chef vous présente votre plateau et vous explique dans quel ordre manger vos sushis et surtout vous apprend comment les manger !!! 
"
172,Terrier M,terrierm,23 février 2016,Le sushi d'or,5.0,couples,66,"Grande fan de sushis, Wasabi est pour moi le meilleur restaurant japonais de Lyon.
Les sushis sont tout simplement parfaits. Je n'ai jamais été déçue.
Mention spéciale: Le chef se déplace à chaque fois pour nous montrer comment déguster les sushis, plutôt déstabilisant au début c'est tout même très appréciable :)

Idéal pour un repas en tête à tête ;)

Allez y les yeux fermés !"
173,Amandine G,653amandineg,19 février 2016,Minable,1.0,friends,5,Très déçu de cette visite. Une bonne réputation qui n'a pas lieu d'être! Personnel très désagréable qui se fait des messes basses dans leur langues natales.
174,Jérôme M,j_r_mem238,19 février 2016,Excellent restaurant japonais,4.0,couples,55,"Ambiance posée, service discret, les sushis, maki et brochettes sont vraiment excellents. La carte des sakés est également de bonne facture. A faire absolument si vous aimez la cuisine japonaises. toutefois, la carte manque peut-être d'un peu d'excentricité et les prix sont un peu élevés (bien que la qualité soit très bonne)."
175,JuJrm,JuJrm,14 février 2016,Probablement l'un des meilleurs japonais de Lyon,5.0,couples,9,"Nous y allons au minimum une fois par an. Le poisson est très frais et labellisé, la déco est très mignonne, le service est correct et le chef vient vous voir pour vous expliquer dans quel ordre il est préférable de manger vos sushis. C'est cher mais une qualité de ce genre et de telles saveurs ça n'a pas de prix ! Ayant gouter parfois le pire en sushis, je ne peux que recommander vivement ce restaurant ... et les yeux fermés !"
176,berryAustin,berryAustin,12 février 2016,Super,5.0,couples,143,"On ne passe pas devant le Wasabi par hasard car il est un peu perdu dans une petite rue près de l université! Et c est sûrement mieux car les personnes qui y viennent sont des connaisseurs et amateurs de vraie cuisine japonaise. 

Nous avons pris 2 menus, un Ebi et un Wasabi.
Tout était parfait! La présentation des plats par le serveur mais aussi et le plus important la qualité des mets.
Nous avons mangé des tempura de crevettes, tartare de saumon, plateau de sushis et sashimi.
Le poisson était divin et fondait en bouche . 
L endroit est agréable, le service attentionné, vraiment une belle maison! 
Néanmoins un peu cher, mais ça vaut le détour. 
Il faut compter +/- 130€ à deux avec 2 menus et du vin. "
177,chou_marin,chou_marin,12 février 2016,Excellent restaurant de sushis.,5.0,couples,73,"Le meilleur restaurant de sushis que nous avons fait.
Nous avions l'impression de découvrir les sushis. Le poisson est frais et de qualité. 
Nous y sommes allés pour notre anniversaire de couple et l'ambiance s'y prêtait bien, le restaurant est très cosy.
Seul élément à prendre en compte : la qualité se paye mais franchement, les tarifs sont justifiés. "
178,Plume K,k_plume_t,8 février 2016,Valeur sûre de l'excellence,5.0,couples,12,"Aller chez Chef Kim c'est s'assurer un régal et une excellente soirée.
Passer à côté vous ferait rater les meilleurs sushis de France."
179,69voyageurdumonde69,69voyageurdumonde69,14 janvier 2016,Un pur bonheur,5.0,business,547,"Pour les fans de cuisine japonaise c'est l'adresse à découvrir.  La cuisine est excellente,  le chef nous explique  dans quel ordre et comment déguster les différents mets servis!!!
A découvrir sans hésitation.."
180,Didier L,742didierl,13 janvier 2016,tout simplement délicieux,5.0,friends,45,"il faut savoir que ce restaurant, à la façade pas vraiment asiatique, est un des meilleurs restaurants de sushis que vous pourrez trouver.
fraîcheur des produits, saveur, tout est au top.
alors certes, il ne faut pas être pressé, certes, les prix ne sont pas parmi les plus bas, mais la qualité en vaut largement la peine"
181,Christophe B,christopheb444,9 janvier 2016,La véritable cuisine Japonaise,5.0,family,482,"Le wasabi porte bien son nom, pour représenter ce pays. Un cadre made in Japan, des mets de qualités et une présentation des plats digne des grands restaurants. "
182,dominique r,DominiqueR37,2 janvier 2016,Le meilleur restaurant de suhsis a ma connaissance,5.0,couples,1044,"Ce restaurant ne paie pas de mine meme s'il a un aspect convivial et sympa mais tout est dans l'assiette.
Peu de choix mais des menus parfaitement composes .
Prix globalement eleve pour des produits de qualites.
Mais par contre un regal , si vous avez des relations qui disent ne pas aimer les sushis amenez les ici pour se faire une idee de ce qu'est un bon suhis et apres ils pourront dire s'ils aiment ou pas .
Voyageant beaucoup dont en asie j'ai eu l'occasion de manger des sushis dans plusieurs pays mais aucun restaurant n'avait la meme qualite et le meme gout , je recommande vivement ce restaurant  ( j'y suis alle au moins  4 fois avec la meme constance dans la qualite.)
C'est remarquable"
183,Bertrand D,327bertrandd,2 janvier 2016,"Unique, l'un des rares vrais restaurant de sushis à Lyon",5.0,friends,26,"Expédions de suite les seules critiques négative que l'ont peut émettre, le prix et le temps de service:

On ne mange pas des sushis comme ôn va au Mac do. C'est un plat d'exception, et ça ne tolère pas la médiocrité. Le poisson cru c'est frais et de qualité  sinon ôn s'abstient.

 Donc si c'est trop cher, allons y moins souvent, attendons une belle occasion.

Si on a pas le temps d'attendre la préparation à la commande et bien on mange un sandwich. Le sushi ça se prépare pas à l'avance. 

Ici c'est familial et exigeant, la décoration est charmante.
Les poissons très frais, les sushis sont préparés devant vous, et techniquement proches de la perfection.

Pour apprécier il faut oublier la culture du fast food.
9 restaurant à sushi sur 10 sont des escroqueries, au wasabi, c'est le 1/10 à ne pas se moquer de vous.

Faites vous plaisir, allez y quand vous avez le temps et plutôt qu'aller 10 fois manger des sushis pas frais ne mangez qu'une fois de vrais sushi avec l'économie réalisée."
184,Aurélien J,710aur_lienj,27 décembre 2015,"Grande fraicheur, prix en conséquence",4.0,none,19,"La fraicheur des poissons est irréprochable, et les sushis généreux!
Le chef japonais qui tient le restaurant vient même vous expliquer l'ordre dans lequel il faut manger vos sushis, avant de vous montrer comment faire!"
185,MLA,MLAcw,14 décembre 2015,Particulier mais interessant,3.0,couples,152,"Amateur de cuisine japonaise, des amis nous l'ont conseillé. Ambiance chaleureuse comme à la maison, décoration inattendue. Je n'ai pas trouvé tout mon bonheur dans la carte mais les plats restent frais. Et bons. "
186,Mika69008,Mika69008,5 décembre 2015,Delicieux,5.0,couples,372,Que de bonne surprise ! Certes pas énormément de choix mais les menus sont très bien pensés en tout cas pour ceux qui aime . Le chef vient vous expliquer comment on mange les sushis ! Etc.. Que dire à part que le poisson est de très bonne qualité à recommander déjà deux fois que j'y retourne et pas déçu ! Par contre ne vous attendez pas à un Resto de Sushi à volontés ! 
187,agnesdMontevideo,agnesdMontevideo,3 décembre 2015,Excellent,5.0,friends,15,"Excellent de bout en bout. Nous étions trois couples, tous amateurs de sushis. Le restaurant était presque plein avec à notre droite une table d'une délégation japonaise. Du coup l'attente fut un peu longue mais quel bonheur une fois servi. Une adresse incontournable pour ceux qu'enchante la cuisine japonaise."
188,Poinbar01,Poinbar01,29 novembre 2015,Enchantés !,5.0,family,88,"Nous avons découvert la cuisine japonaise et nous sommes enchantés !
Si le cadre est un peu désuet, les plats sont excellents. Nous avons particulièrement  apprécié: . la cuisine faite avec des produits ( poissons ) très frais et variés
                . l' intervention du chef qui nous explique la façon et la chronologie pour déguster au mieux tous les mets proposés.
Le service est efficace et aimable."
189,Justine B,justineg365,6 novembre 2015,Le meilleur restaurant japonais de Lyon !,5.0,couples,13,"Pour moi, le meilleur restaurant japonais de Lyon. Le poisson est exquis, les serveurs sont aux petits soins et expliquent volontiers les spécificités des plats (dans quel ordre manger tel ou tel sushi). Un dîner mémorable."
190,EricTheTiger,EricTheTiger,6 novembre 2015,Pour les adeptes de sushis...,5.0,couples,72,"Habituellement, je ne suis pas fan des sushis. Pourtant, j'ai adoré les déguster dans ce très agréable restaurant. Le cadre est chaleureux, le service est sympathique et la cuisine délicieuse. Nous avons même eu le plaisir de voir le chef nous faire profiter de ses connaissances quant à la dégustation de sa cuisine. La qualité du repas justifie pleinement le prix un petit peu élevé des menus."
191,Nana,nanafoodlove,6 novembre 2015,Bon !,4.0,none,20,"Je suis aller manger là-bas avec mon Chéri après avoir lu les avis sur TripAdvisor ! Au niveau du goût il n'y a rien à redire tout est bon dans l'ensemble !! Surtout la salade en entrée j'avais envie de redemander encore et encore !!!!!
Le seul point négatif c'est une carte où il y a peut de choix 2 ou 3 menu le midi et 3-4 le soir (que des menus pas de sushis à la carte) et puis nous ne sommes pas averties de ce qu'il y a dans les makis du coup (je pense suivant l'arrivage de poisson) je me suis retrouvée avec du crabe alors que je n'aimais pas ça ... "
192,Alison B.,alisonbcrd,1 novembre 2015,Excellent !,5.0,couples,26,"Ce sont les meilleurs sushis que j'ai pu manger. Le cadre est superbe et le service est très agréable. J'ai eu l'occasion de déguster à 2 reprises une bento qui rassemblent diverses spécialités japonaises, tout était excellent.  Les prix sont élevés mais sont justifiés par la qualité. "
193,zenatittude,zenatittude,29 octobre 2015,super,5.0,couples,14,Excellent restaurant . LE meilleur en ce qui concerne les sushis à Lyon . A faire absolument . Service discret et en ce qui concerne la nourriture le goût la qualité est la . On adore
194,Sylviewww,Sylviewww,12 septembre 2015,Fraîcheur et decouvertes,5.0,couples,5,"Meilleur repas de sushis jamais expérimenté, très loin des chaînes et du surimi dans les makis. La fraîcheur, la découpe et les conseils de dégustation y sont pour beaucoup. La déco est assez surprenante, la carte des sakés intéressante, le souvenir du poisson fondant nous fera certainement revenir."
195,Justine G,450justineg,9 septembre 2015,Un petit retour au pays du soleil levant avec ce restaurant authentique japonais,5.0,friends,22,"Les sushis sont très raffinés, on nous explique de quelle façon les manger et dans quel ordre, et après être allée au Japon je retrouve vraiment cette fraîcheur dans les produits telle qu'on l'avait la-bas! Le cadre est joli, typique japonais, une très bonne adresse!"
196,yetidemtma,yetidemtma,8 septembre 2015,LE resto sushi de lyon,5.0,none,72,"huuuuummmmm que dire si ce n est terrible 
tres tres bon resto de sushi 
petite carte ( qui est souvent gage de qualite ) produit extra frais 
avec en plus un chef disponible qui vient vous faire deguster avec ses conseils 
ici on vous apprend a manger des sushi car oui ca s apprend 
mention particuliere pour le maki saumon yuzu et pour le maki anguille fume 
"
197,BonnetDeBain,Bonnet2Bain,7 septembre 2015,Excellent.,5.0,couples,39,"Tout d'abord, le cadre est absolument magique, très cosy et parfait pour un diner en amoureux. L'accueil est chaleureux. Le personnel, très à l'écoute du client, nous a appris la ""vraie"" manière de manger des sushis. Quant à la nourriture, ce fut les meilleures spécialitées japonaises que je n'eu jamais mangées apparavant. Le poisson est extrement frais, le service est sublime et les quantités vraiment suffisantes. Les prix sont, certes, un peu élevés mais cela vaut bien la qualité de ce petit restaurant dans lequel je retournerais sans hésiter."
198,Dan69440,Dan69440,30 août 2015,FANTASTIQUE :),5.0,friends,19,"Pour un repas en tête a tête , accueil agréable , cadre sympathique , plats fabuleux avec en prime la visite du maître de la maison . Bref soirée très réussit allez y ."
199,Maud P,maudpucci,30 août 2015,Prix élevé !,4.0,couples,161,"Ayant dîner dans un grand nombre de restaurants Japonais (à Lyon ou dans d'autres villes/pays), nous voulions nous rendre dans celui-ci surtout après la lecture de tous les bons avis. De notre point de vue, il est vrai que la cuisine est bonne, que les plats sont frais, que le service et la gentillesse du personnel est remarquable... MAIS, le prix est vraiment excessif ! Surtout que le soir, ils servent que des menus donc le choix est assez restreint. Et justement par rapport aux autres restaurants, où l'on a l'habitude de retrouver la même qualité de cuisine (avec des menus à des tarifs facilement divisés par deux et avec autant voir plus de quantité)... cela nous a un petit peu choqué ^^ 
Nous avons tout de même passé un très bon moment, avec un joli décor. Merci de nous avoir évoqué vos traditions :) "
200,Nathalie V,NathalieV133,29 août 2015,Une belle initiation,5.0,family,57,"Si vous voulez apprendre a manger des sushis, courrez au wasibi : le chef vous y attend. Un poisson remarquable de fraîcheur, un service impeccable, un joli décor : une soirée qui sera forcément réussie. "
201,François M,Fragazz21000,28 août 2015,Excellents sushis,5.0,couples,25,"Une excellente cuisine japonaise et c'était vraiment frais. Les sushis sont fait à la demande et devant vous. Le personnel est très aimable. 
Le maître sushi est même venu nous expliquer et montrer la manière et l'ordre pour manger les différents sushis et sashimis.
Nous y retournerons volontiers.
Réservation conseillée."
202,NounieGas,NounieGas,25 août 2015,"Incroyable ""SUSHIS expérience""",5.0,friends,17,"Resto choisi grâce aux nombreux avis positifs sur le net pour une soirée entre copines, et effectivement nous n'avons pas été déçues!
Petit resto tout à fait typique, qui ne cherche pas à nous en mettre plein la vue avec une pseudo déco épurée, accueil chaleureux avec explication des différents menus.
Service au top, on nous explique comment manger ce que nous avons choisi, dans quel ordre, avec ou sans sauce. Attention aux papilles!! Ce fut tout simplement un délice, je suis adepte de la cuisine Japonaise mais c'est de loin les meilleurs SUSHIS que j'ai mangé. J'y retournerai certainement très vite pour faire découvrir cette petite pépite Lyonnaise à d'autres amis."
203,Leouza,Leouza,22 août 2015,La VRAIE cuisine japonaise !,5.0,friends,140,"Accompagnés d'amis ayant visité à de nombreuses reprises le Japon, nous voulions le tester pour voir s'il était à la hauteur de ce qu'on recherchait : de la vraie cuisine japonaise typique et locale. Ils se sont sentis transportés Pari réussi !

Aucune déception, de belles surprises, des bentos très copieux fait de produits très frais et cuisinés par le chef en personne. Comme le veut la tradition, il n'y a que lui qui a le droit de cuisiner. Il explique même comment manger un sushi! 

Le décor est somptueux, arbres lumineux suspendus au dessus de nos têtes.. Magnifique !

Je recommande vraiment! En revanche, l'addition est en conséquence donc ne pas s'attendre aux prix du petit jap du coin. "
204,benbip,benbip,12 août 2015,"Sushis savoureux, cadre poétique.",4.0,couples,37,"De délicieux menus, des produits frais, bien travaillés et bien présentés.
Service très agréable et enrichissant !
Le décoration du restaurant est onirique et nous emmène ailleurs!
On aime y prendre son temps.

(Tout petit bémol, qui n'est pas directement lié à la qualité de tout le reste ... , attention à ne pas mettre de côté les toilettes du point de vue du ménage).
"
205,Leolouis,Leolouis,9 août 2015,Enrichissants sushis !,5.0,none,33,"Diner très enrichissant. Le chez Kim nous a montré la véritable façon de déguster les sushis. Diversité des gouts, des produits,des textures et d'une finesse rarement vu. J'y retournerais volontiers lors d'un prochain passage à Lyon !"
206,Félix E,haikuhaiku,6 août 2015,Voyager au Japon...,5.0,friends,35,"Excellent restaurant ! Saveurs, qualité, ambiance, la salle et sa découvrir, tout a été parfait. L'accueil est souriant, professionnel tout en étant décontracté. Nous avons passé une très agréable soirée, c'est certain nous y retournerons !"
207,Arnaud F,579arnaudf,5 août 2015,The best !,5.0,business,32,"Amateurs de saveurs japonaises ne cherchez plus.
Il n'y a pas mieux pour moi. À aborder comme une sortie gastronomique pas pour manger 3 sushis sur le pouce.
Le cadre est charmant les plats succulents."
208,Thierry,karim06,3 août 2015,Un peu cher mais excellent,4.0,couples,129,"Nous étions habitué à des sushis, sas humus et californias standards et là nous avons découvert un autre niveau. Du goût, de la qualité jusque dans le Wasabi (la pâte) fort mais pas trop.
Un tout petit peu plus cher que les autres japonais mais un bel écart de performance "
209,Sara7878,Sara7878,29 juillet 2015,Bon sushi,4.0,friends,35,Bon sushi qui est préparé avec de produits frais. un peu cher quand-même pour ce que c' est. Tout est bon mais la cuisine de ce restaurant ne m' a pas non plus marqué.
210,Sainte-Co,Sainte-Co,28 juillet 2015,D'excellents produits bien préparés,5.0,couples,174,"L'endroit est chaleureux, beaucoup d'objets de décoration, la carte du midi (jeudi ou vendredi) propose entre autres pour une vingtaine d'Euros des sushis variés avec soupe miso et salade verte au saumon, ou poisson grillé avec un accompagnement similaire. Tout cela est excellent ainsi que la carte des sakés qui offre une grande diversité (les meilleurs ne sont pas donnés)
Pour la première fois dans un restaurant japonais, le chef explique comment manger les sushis :  les poissons blancs en premier, thon et saumon ensuite pour terminer sur la crevette, les makis et california maison se mangent quand on veut.
La soupe miso est là pour se rincer la bouche entre deux sushis ainsi que l'accompagnement de navets émincés avec le gingembre mariné.
On ne trempe que la lamelle de poisson (pas le riz) dans la sauce soja (mélangée au wasabi) et l'on place le sushi dans sa bouche à l'envers avec la lamelle de poisson sur la langue. Toute une technique qui permet de profiter pleinement du repas.
On y reviendra."
211,mouaadiib,mouaadiib,27 juillet 2015,Specialiste du sushi,5.0,family,10,"Amateur de sushi, Sashimi, ce restaurant est un petit bijoux.
Avec ma femme et ma fille on est à chaque fois enchanté par le décor....on se croirait une peu dans le monde de Miyazaki."
212,Cédric D,558c_dricd,8 juillet 2015,Très bon !,5.0,friends,2,"Même si il est vrai que la décoration laisse un peu à désirer, on est vraiment pas déçu par ce qu'il y a dans l'assiette. Les plats qu'il sert semblent tenir à cœur au chef et on comprend que ça ferait mal de voir quelqu'un gâcher des sushis aussi excellent. La qualité du poisson justifie parfaitement le prix assez élevé."
213,Patrick R,644patrickr,2 juin 2015,Parfait,4.0,none,45,"Suite aux critiques lues sur tripadvisor,je suis venu en famille fêter l'anniversaire de ma fille .
Nous n'avons pas été déçus, nous avons pris le menu Bento et tous les mets qui le composent sont frais et excellents.
Je recommande ce restaurant a tous les amoureux de la cuisine japonaise raffinée.   "
214,julien n,615julienn,21 mai 2015,Un japonais digne de ce nom,5.0,couples,6,"J' adore la cuisine japonaise et vu les notes sur trip, j' ai testé, et bien pas déçu du tout.
Les produits sont frais et excellents, l' anguille est magnifique, l' ambiance est raffinée et zen. Certes un peu cher, mais c' est largement justifié. Le menu wasabi est à tester, je le recommande fortement. Un des meilleurs japonais de Lyon sans contestes."
215,La Miss,mariebF2726BB,2 mai 2015,L'excellence,5.0,family,97,"un sans faute. les plats sont préparés au fur et à mesure de la commande, le chef vient en personne expliquer comment déguster, dans quel ordre afin de découvrir et apprécier au mieux les saveurs. l'ambiance est calme, on peut y aller en famille ou en amoureux."
