name,url,id_restaurant
Cafe Comptoir Abel,https://www.tripadvisor.fr/Restaurant_Review-g187265-d966700-Reviews-Cafe_Comptoir_Abel-Lyon_Rhone_Auvergne_Rhone_Alpes.html,81
Le Boeuf D'argent,https://www.tripadvisor.fr/Restaurant_Review-g187265-d4993538-Reviews-Le_Boeuf_D_argent-Lyon_Rhone_Auvergne_Rhone_Alpes.html,82
L'Argot,https://www.tripadvisor.fr/Restaurant_Review-g187265-d7612326-Reviews-L_Argot-Lyon_Rhone_Auvergne_Rhone_Alpes.html,83
Restaurant Lounge N133,https://www.tripadvisor.fr/Restaurant_Review-g187265-d11816506-Reviews-Restaurant_Lounge_N133-Lyon_Rhone_Auvergne_Rhone_Alpes.html,84
Le Bistrot Nicephore,https://www.tripadvisor.fr/Restaurant_Review-g187265-d14170954-Reviews-Le_Bistrot_Nicephore-Lyon_Rhone_Auvergne_Rhone_Alpes.html,85
La Maison Villemanzy,https://www.tripadvisor.fr/Restaurant_Review-g187265-d800330-Reviews-La_Maison_Villemanzy-Lyon_Rhone_Auvergne_Rhone_Alpes.html,86
Brasserie de L'Est,https://www.tripadvisor.fr/Restaurant_Review-g187265-d795353-Reviews-Brasserie_de_L_Est-Lyon_Rhone_Auvergne_Rhone_Alpes.html,87
Cafe des Federations,https://www.tripadvisor.fr/Restaurant_Review-g187265-d801154-Reviews-Cafe_des_Federations-Lyon_Rhone_Auvergne_Rhone_Alpes.html,88
Nosch,https://www.tripadvisor.fr/Restaurant_Review-g187265-d14023209-Reviews-Nosch-Lyon_Rhone_Auvergne_Rhone_Alpes.html,89
Brasserie des Confluences,https://www.tripadvisor.fr/Restaurant_Review-g187265-d7698838-Reviews-Brasserie_des_Confluences-Lyon_Rhone_Auvergne_Rhone_Alpes.html,90
L'Atelier des Augustins,https://www.tripadvisor.fr/Restaurant_Review-g187265-d6496648-Reviews-L_Atelier_des_Augustins-Lyon_Rhone_Auvergne_Rhone_Alpes.html,91
café du Jura,https://www.tripadvisor.fr/Restaurant_Review-g187265-d1018521-Reviews-Cafe_du_Jura-Lyon_Rhone_Auvergne_Rhone_Alpes.html,92
Bikube Lyon - Restaurant,https://www.tripadvisor.fr/Restaurant_Review-g187265-d28100759-Reviews-Bikube_Lyon_Restaurant-Lyon_Rhone_Auvergne_Rhone_Alpes.html,93
Bateau Hermes,https://www.tripadvisor.fr/Restaurant_Review-g187265-d695176-Reviews-Bateau_Hermes-Lyon_Rhone_Auvergne_Rhone_Alpes.html,94
Le Garet,https://www.tripadvisor.fr/Restaurant_Review-g187265-d719126-Reviews-Le_Garet-Lyon_Rhone_Auvergne_Rhone_Alpes.html,95
L'Ange Di Vin,https://www.tripadvisor.fr/Restaurant_Review-g187265-d3743018-Reviews-L_Ange_Di_Vin-Lyon_Rhone_Auvergne_Rhone_Alpes.html,96
Restaurant Un Deux Trois,https://www.tripadvisor.fr/Restaurant_Review-g187265-d1326973-Reviews-Restaurant_Un_Deux_Trois-Lyon_Rhone_Auvergne_Rhone_Alpes.html,97
Alebrije Cuisine Du Mexique,https://www.tripadvisor.fr/Restaurant_Review-g187265-d23195877-Reviews-Alebrije_Cuisine_Du_Mexique-Lyon_Rhone_Auvergne_Rhone_Alpes.html,98
Saveurs D'orient,https://www.tripadvisor.fr/Restaurant_Review-g187265-d6591956-Reviews-Saveurs_D_orient-Lyon_Rhone_Auvergne_Rhone_Alpes.html,99
Chez Hugon,https://www.tripadvisor.fr/Restaurant_Review-g187265-d2657883-Reviews-Chez_Hugon-Lyon_Rhone_Auvergne_Rhone_Alpes.html,100
L'Épicerie de Ginette - Bistrot à Tartines - Lyon 2,https://www.tripadvisor.fr/Restaurant_Review-g187265-d790236-Reviews-L_Epicerie_de_Ginette_Bistrot_a_Tartines_Lyon_2-Lyon_Rhone_Auvergne_Rhone_Alpes.html,101
Bouchon Des Cordeliers,https://www.tripadvisor.fr/Restaurant_Review-g187265-d8665518-Reviews-Bouchon_Des_Cordeliers-Lyon_Rhone_Auvergne_Rhone_Alpes.html,102
L'Osteria Lyon La Part-Dieu,https://www.tripadvisor.fr/Restaurant_Review-g187265-d23693691-Reviews-L_Osteria_Lyon_La_Part_Dieu-Lyon_Rhone_Auvergne_Rhone_Alpes.html,103
Le Bouchon de l'Opera,https://www.tripadvisor.fr/Restaurant_Review-g187265-d1945699-Reviews-Le_Bouchon_de_l_Opera-Lyon_Rhone_Auvergne_Rhone_Alpes.html,104
Christian Tetedoie,https://www.tripadvisor.fr/Restaurant_Review-g187265-d715010-Reviews-Christian_Tetedoie-Lyon_Rhone_Auvergne_Rhone_Alpes.html,105
Brasserie des Brotteaux,https://www.tripadvisor.fr/Restaurant_Review-g187265-d695215-Reviews-Brasserie_des_Brotteaux-Lyon_Rhone_Auvergne_Rhone_Alpes.html,106
Auberge Des Canuts - Bouchon Lyonnais,https://www.tripadvisor.fr/Restaurant_Review-g187265-d12419021-Reviews-L_Auberge_Des_Canuts-Lyon_Rhone_Auvergne_Rhone_Alpes.html,107
Les Bons Vivants,https://www.tripadvisor.fr/Restaurant_Review-g187265-d23396881-Reviews-Les_Bons_Vivants-Lyon_Rhone_Auvergne_Rhone_Alpes.html,108
Le Bouchon des Artistes,https://www.tripadvisor.fr/Restaurant_Review-g187265-d14913238-Reviews-Le_Bouchon_des_Artistes-Lyon_Rhone_Auvergne_Rhone_Alpes.html,109
Chez Chabert,https://www.tripadvisor.fr/Restaurant_Review-g187265-d1330199-Reviews-Chez_Chabert-Lyon_Rhone_Auvergne_Rhone_Alpes.html,110
Le Dandelion Cafe,https://www.tripadvisor.fr/Restaurant_Review-g187265-d17755404-Reviews-Le_Dandelion_Cafe-Lyon_Rhone_Auvergne_Rhone_Alpes.html,111
Diploid,https://www.tripadvisor.fr/Restaurant_Review-g187265-d12362863-Reviews-Diploid-Lyon_Rhone_Auvergne_Rhone_Alpes.html,112
Bistrot Abel,https://www.tripadvisor.fr/Restaurant_Review-g187265-d8854443-Reviews-Bistrot_Abel-Lyon_Rhone_Auvergne_Rhone_Alpes.html,113
La Meuniere,https://www.tripadvisor.fr/Restaurant_Review-g187265-d1014546-Reviews-La_Meuniere-Lyon_Rhone_Auvergne_Rhone_Alpes.html,114
Merle Huîtres Et Coquillages,https://www.tripadvisor.fr/Restaurant_Review-g187265-d3687282-Reviews-Merle_Huitres_Et_Coquillages-Lyon_Rhone_Auvergne_Rhone_Alpes.html,115
Le Poelon d'Or,https://www.tripadvisor.fr/Restaurant_Review-g187265-d1331952-Reviews-Le_Poelon_d_Or-Lyon_Rhone_Auvergne_Rhone_Alpes.html,116
Le Troquet,https://www.tripadvisor.fr/Restaurant_Review-g187265-d2718480-Reviews-Le_Troquet-Lyon_Rhone_Auvergne_Rhone_Alpes.html,117
Gabriella,https://www.tripadvisor.fr/Restaurant_Review-g187265-d13197448-Reviews-Gabriella-Lyon_Rhone_Auvergne_Rhone_Alpes.html,118
Chez Grand Mere Lyon,https://www.tripadvisor.fr/Restaurant_Review-g187265-d2720343-Reviews-Chez_Grand_Mere_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html,119
Kopain & Café,https://www.tripadvisor.fr/Restaurant_Review-g187265-d25360215-Reviews-Kopain_Cafe-Lyon_Rhone_Auvergne_Rhone_Alpes.html,120
Contre-champ,https://www.tripadvisor.fr/Restaurant_Review-g187265-d3340848-Reviews-Contre_champ-Lyon_Rhone_Auvergne_Rhone_Alpes.html,121
Cafe du Nain,https://www.tripadvisor.fr/Restaurant_Review-g187265-d6773412-Reviews-Cafe_du_Nain-Lyon_Rhone_Auvergne_Rhone_Alpes.html,122
Pizzeria Napoli Chez Nicolo & Franco Morreale,https://www.tripadvisor.fr/Restaurant_Review-g187265-d1323120-Reviews-Pizzeria_Napoli_Chez_Nicolo_Franco_Morreale-Lyon_Rhone_Auvergne_Rhone_Alpes.html,123
Bikube Lyon - Restaurant,https://www.tripadvisor.fr/Restaurant_Review-g187265-d28100759-Reviews-Bikube_Lyon_Restaurant-Lyon_Rhone_Auvergne_Rhone_Alpes.html,124
Chez Bànôi,https://www.tripadvisor.fr/Restaurant_Review-g187265-d13783816-Reviews-Chez_Banoi-Lyon_Rhone_Auvergne_Rhone_Alpes.html,125
Hanoi Ca Phe,https://www.tripadvisor.fr/Restaurant_Review-g187265-d13221000-Reviews-Hanoi_Ca_Phe-Lyon_Rhone_Auvergne_Rhone_Alpes.html,126
Bouchon Bât-D'Argent,https://www.tripadvisor.fr/Restaurant_Review-g187265-d20405964-Reviews-Bouchon_Bat_D_Argent-Lyon_Rhone_Auvergne_Rhone_Alpes.html,127
Art Restaurant Lyon,https://www.tripadvisor.fr/Restaurant_Review-g187265-d24931912-Reviews-Art_Restaurant_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html,128
Danton,https://www.tripadvisor.fr/Restaurant_Review-g187265-d3588068-Reviews-Danton-Lyon_Rhone_Auvergne_Rhone_Alpes.html,129
Épicure Lyon,https://www.tripadvisor.fr/Restaurant_Review-g187265-d28487321-Reviews-Epicure_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html,130
Le Comptoir Libanais,https://www.tripadvisor.fr/Restaurant_Review-g187265-d23536439-Reviews-Le_Comptoir_Libanais-Lyon_Rhone_Auvergne_Rhone_Alpes.html,131
Maison Moly,https://www.tripadvisor.fr/Restaurant_Review-g187265-d26855276-Reviews-Maison_Moly-Lyon_Rhone_Auvergne_Rhone_Alpes.html,132
L'Authentik Restaurant,https://www.tripadvisor.fr/Restaurant_Review-g187265-d21177672-Reviews-L_Authentik_Restaurant-Lyon_Rhone_Auvergne_Rhone_Alpes.html,133
Saku Restaurant,https://www.tripadvisor.fr/Restaurant_Review-g187265-d12398846-Reviews-Saku_Restaurant-Lyon_Rhone_Auvergne_Rhone_Alpes.html,134
Zucca,https://www.tripadvisor.fr/Restaurant_Review-g187265-d8825212-Reviews-Zucca-Lyon_Rhone_Auvergne_Rhone_Alpes.html,135
La Cabane à Huitres,https://www.tripadvisor.fr/Restaurant_Review-g187265-d3834664-Reviews-La_Cabane_a_Huitres-Lyon_Rhone_Auvergne_Rhone_Alpes.html,136
Restaurant le Parloir,https://www.tripadvisor.fr/Restaurant_Review-g187265-d12838959-Reviews-Restaurant_le_Parloir-Lyon_Rhone_Auvergne_Rhone_Alpes.html,137
L'Atelier d'Yvonne,https://www.tripadvisor.fr/Restaurant_Review-g187265-d918784-Reviews-L_Atelier_d_Yvonne-Lyon_Rhone_Auvergne_Rhone_Alpes.html,138
Chikin Bang X Xing Fu Tang Korean Street Food Cordeliers,https://www.tripadvisor.fr/Restaurant_Review-g187265-d25327023-Reviews-Chikin_Bang_X_Xing_Fu_Tang_Korean_Street_Food_Cordeliers-Lyon_Rhone_Auvergne_Rho.html,139
Semanteme,https://www.tripadvisor.fr/Restaurant_Review-g187265-d14004458-Reviews-Semanteme-Lyon_Rhone_Auvergne_Rhone_Alpes.html,140
Daniel et Denise Créqui,https://www.tripadvisor.fr/Restaurant_Review-g187265-d788465-Reviews-Daniel_et_Denise_Crequi-Lyon_Rhone_Auvergne_Rhone_Alpes.html,141
L'Etoile d'Asie,https://www.tripadvisor.fr/Restaurant_Review-g187265-d3630466-Reviews-L_Etoile_d_Asie-Lyon_Rhone_Auvergne_Rhone_Alpes.html,142
Le Neuvième Art,https://www.tripadvisor.fr/Restaurant_Review-g187265-d6852234-Reviews-Le_Neuvieme_Art-Lyon_Rhone_Auvergne_Rhone_Alpes.html,143
Le Layon,https://www.tripadvisor.fr/Restaurant_Review-g187265-d1393522-Reviews-Le_Layon-Lyon_Rhone_Auvergne_Rhone_Alpes.html,144
Casa Nobile,https://www.tripadvisor.fr/Restaurant_Review-g187265-d7045473-Reviews-Casa_Nobile-Lyon_Rhone_Auvergne_Rhone_Alpes.html,145
Daniel Et Denise,https://www.tripadvisor.fr/Restaurant_Review-g187265-d3650211-Reviews-Daniel_Et_Denise-Lyon_Rhone_Auvergne_Rhone_Alpes.html,146
Cafe Luna,https://www.tripadvisor.fr/Restaurant_Review-g187265-d7023133-Reviews-Cafe_Luna-Lyon_Rhone_Auvergne_Rhone_Alpes.html,147
Bouillon Croix-Rousse,https://www.tripadvisor.fr/Restaurant_Review-g187265-d21349804-Reviews-Bouillon_Croix_Rousse-Lyon_Rhone_Auvergne_Rhone_Alpes.html,148
L'Espace Brasserie,https://www.tripadvisor.fr/Restaurant_Review-g187265-d1674446-Reviews-L_Espace_Brasserie-Lyon_Rhone_Auvergne_Rhone_Alpes.html,149
Casabea,https://www.tripadvisor.fr/Restaurant_Review-g187265-d15866098-Reviews-Casabea-Lyon_Rhone_Auvergne_Rhone_Alpes.html,150
Café Terroir,https://www.tripadvisor.fr/Restaurant_Review-g187265-d8685742-Reviews-Cafe_Terroir-Lyon_Rhone_Auvergne_Rhone_Alpes.html,151
Gang Nam,https://www.tripadvisor.fr/Restaurant_Review-g187265-d6694423-Reviews-Gang_Nam-Lyon_Rhone_Auvergne_Rhone_Alpes.html,152
Brasserie l'Espace Carnot,https://www.tripadvisor.fr/Restaurant_Review-g187265-d2434949-Reviews-Brasserie_l_Espace_Carnot-Lyon_Rhone_Auvergne_Rhone_Alpes.html,153
Akle - le restaurant,https://www.tripadvisor.fr/Restaurant_Review-g187265-d6868758-Reviews-Akle_le_restaurant-Lyon_Rhone_Auvergne_Rhone_Alpes.html,154
